longtitude,latitude
-74.010773,40.700292
-73.999271,40.70758
-73.978758,40.710443
-73.971977,40.721762
-73.971291,40.729568
-73.973994,40.733503
-73.968072,40.746834
-73.941936,40.775114
-73.94258,40.778884
-73.943589,40.781906
-73.939362,40.785351
-73.936272,40.78964
-73.932238,40.793149
-73.929491,40.795228
-73.928976,40.801141
-73.930907,40.804877
-73.934298,40.810496
-73.934383,40.834074
-73.922281,40.855371
-73.908892,40.87069
-73.928289,40.878348
-73.947258,40.851151
-73.947086,40.844074
-73.955498,40.828229
-74.008713,40.754019
-74.013863,40.719941
-74.013605,40.718575
-74.017038,40.718802
-74.020042,40.704977
-74.016438,40.700553
