"","LON","LAT"
"1",-73.9584858284,40.7358127696
"2",-73.958511939,40.7359693377
"3",-73.9585254261,40.7360502082
"4",-73.958850933,40.7354643591
"5",-73.9589863243,40.7354517841
"6",-73.9591396234,40.7354375457
"7",-73.9592592543,40.7354264335
"8",-73.9593695725,40.7354161869
"9",-73.9595063961,40.7354034776
"10",-73.9598086962,40.7353753967
"11",-73.9598860624,40.7353682106
"12",-73.9584950669,40.7304574011
"13",-73.958722756,40.7304356681
"14",-73.9588716862,40.7304214538
"15",-73.9589440027,40.7304145511
"16",-73.9604883006,40.7302658167
"17",-73.9608497747,40.7302306583
"18",-73.9609592912,40.7302200064
"19",-73.9610666602,40.7302095626
"20",-73.9591945767,40.7304901208
"21",-73.9590413279,40.7305046033
"22",-73.9589074133,40.7305172599
"23",-73.9575600525,40.7301707121
"24",-73.9575772383,40.7302747443
"25",-73.9575897438,40.7303504528
"26",-73.957600181,40.7304136346
"27",-73.9587057017,40.7311577438
"28",-73.9588746995,40.7311417266
"29",-73.9589842614,40.7311313432
"30",-73.9591095778,40.7311194668
"31",-73.9591990878,40.7311109824
"32",-73.9592907488,40.7311022953
"33",-73.9593827128,40.7309616746
"34",-73.9593710685,40.7308930761
"35",-73.9593587778,40.7308206664
"36",-73.9593378908,40.7306976252
"37",-73.9593286504,40.7306431826
"38",-73.9593194089,40.7305887391
"39",-73.9577617553,40.7304009725
"40",-73.957749627,40.7303274406
"41",-73.9577146808,40.7301155597
"42",-73.9592906697,40.7311988423
"43",-73.9591081415,40.7312166014
"44",-73.959034413,40.7312237739
"45",-73.9586922623,40.7312570623
"46",-73.9585805974,40.7312679265
"47",-73.9585302356,40.7318966298
"48",-73.9588016256,40.7318708322
"49",-73.9589459123,40.7318571159
"50",-73.9594422022,40.7313228229
"51",-73.9594305168,40.7312514625
"52",-73.959096337,40.7319396515
"53",-73.958684707,40.7319794439
"54",-73.9584413074,40.732002973
"55",-73.958250884,40.7320213799
"56",-73.9581735687,40.7320288539
"57",-73.95765356,40.7307453862
"58",-73.9576669382,40.7308248844
"59",-73.9577041373,40.7310459549
"60",-73.9577160496,40.7311167411
"61",-73.9577284196,40.7311902496
"62",-73.9596052555,40.7323140698
"63",-73.9596326684,40.7324746634
"64",-73.9577847962,40.7315348282
"65",-73.9577946522,40.7315947454
"66",-73.957808092,40.7316764516
"67",-73.9578171415,40.7317314661
"68",-73.9578312983,40.7318175293
"69",-73.9578424988,40.7318856163
"70",-73.9579371381,40.7324716567
"71",-73.9579487585,40.7325424706
"72",-73.9595248029,40.7325223318
"73",-73.9594474458,40.7325295537
"74",-73.9593700888,40.7325367764
"75",-73.9592748257,40.7325456704
"76",-73.9588894736,40.7325816447
"77",-73.9587835873,40.732565259
"78",-73.9586495221,40.7326040454
"79",-73.958534203,40.73261481
"80",-73.9583945306,40.7326278494
"81",-73.9582906713,40.7326375437
"82",-73.9582147464,40.7326446311
"83",-73.9578288021,40.7308031263
"84",-73.9578437382,40.7308957536
"85",-73.957864826,40.7310265214
"86",-73.9580513145,40.7321715508
"87",-73.9580603208,40.7322260169
"88",-73.9580723898,40.7322990012
"89",-73.9580858091,40.7323801553
"90",-73.9580989584,40.732459675
"91",-73.9579365349,40.7314769901
"92",-73.9579572064,40.7316039252
"93",-73.9579833802,40.7317646368
"94",-73.958501412,40.7327153058
"95",-73.9585902234,40.732706972
"96",-73.9587363302,40.7326932593
"97",-73.9589870055,40.7326697321
"98",-73.95911664,40.7326575664
"99",-73.9592240722,40.7326474819
"100",-73.9581194797,40.7335780957
"101",-73.9581292579,40.7336385738
"102",-73.9581390349,40.7336990509
"103",-73.9581543626,40.7337938548
"104",-73.9583527532,40.7339991894
"105",-73.9583394121,40.7339207945
"106",-73.9583315366,40.7338745208
"107",-73.9582892877,40.7336262706
"108",-73.95938115,40.7332555786
"109",-73.9591963754,40.7332729831
"110",-73.9587373035,40.7333162222
"111",-73.9586391861,40.733325464
"112",-73.9585639873,40.7333325456
"113",-73.9582279784,40.7332421987
"114",-73.9582171916,40.7331779453
"115",-73.9582018323,40.7330864643
"116",-73.9581798011,40.7329552334
"117",-73.9581675508,40.7328822662
"118",-73.9579553449,40.7333890678
"119",-73.9576617152,40.7334167634
"120",-73.9574146379,40.7334400675
"121",-73.957323685,40.7334486454
"122",-73.9572005044,40.733460264
"123",-73.956848865,40.7334934282
"124",-73.9567636407,40.7335014656
"125",-73.9566025022,40.7335166632
"126",-73.9562401208,40.7335508391
"127",-73.9561498838,40.7335593488
"128",-73.9560589293,40.7335679256
"129",-73.9559679749,40.7335765034
"130",-73.9551601333,40.7336526835
"131",-73.9587124898,40.7334153638
"132",-73.9591536975,40.73337405
"133",-73.9592847705,40.7333617757
"134",-73.9594165597,40.7333494348
"135",-73.9595218466,40.7333395753
"136",-73.9596393107,40.7333285763
"137",-73.9597360038,40.7333195213
"138",-73.9597795926,40.7333904128
"139",-73.9597924771,40.733467192
"140",-73.9598108902,40.7335769163
"141",-73.9598267897,40.7336716643
"142",-73.9598432389,40.7337696795
"143",-73.9598574953,40.7338546267
"144",-73.9556108757,40.7337090958
"145",-73.9559066386,40.7336811
"146",-73.956257542,40.7336478835
"147",-73.9563964712,40.733634733
"148",-73.9566306464,40.7336125645
"149",-73.9571390982,40.7335644317
"150",-73.9573460602,40.7335448397
"151",-73.9574527625,40.7335347376
"152",-73.9575344019,40.733527009
"153",-73.9576418204,40.7335168395
"154",-73.9578315945,40.7334988729
"155",-73.9579010588,40.7334922967
"156",-73.9579733881,40.7334854486
"157",-73.9591044734,40.7348190698
"158",-73.9590471783,40.7348244687
"159",-73.9588301711,40.7348449175
"160",-73.958034364,40.7341018191
"161",-73.9579699105,40.7341079164
"162",-73.9578982967,40.7341146927
"163",-73.9577343002,40.7341302096
"164",-73.9576655503,40.7341367148
"165",-73.9575788975,40.7341449127
"166",-73.9574707606,40.7341551449
"167",-73.9573619073,40.7341654433
"168",-73.9572609305,40.7341749963
"169",-73.9571928968,40.734181434
"170",-73.9570210223,40.7341976944
"171",-73.9568520127,40.7342136845
"172",-73.9566837206,40.7342296063
"173",-73.9565161422,40.7342454605
"174",-73.9563414035,40.7342619917
"175",-73.9558751934,40.7343060956
"176",-73.9555658188,40.734335362
"177",-73.9553545551,40.7343553463
"178",-73.9585042008,40.7349323037
"179",-73.9585161983,40.7350036346
"180",-73.9583714401,40.7351262874
"181",-73.9583623114,40.7350696205
"182",-73.9583513383,40.7350015102
"183",-73.9571441022,40.7369401191
"184",-73.9551961739,40.7344669793
"185",-73.9559030668,40.7344004696
"186",-73.9560685111,40.7343849027
"187",-73.9564459504,40.7343493886
"188",-73.9566901746,40.7343264079
"189",-73.9568334157,40.7343129289
"190",-73.9569351173,40.7343033585
"191",-73.9570067372,40.7342966198
"192",-73.9571943814,40.7342789614
"193",-73.957405662,40.73425908
"194",-73.9574858757,40.7342515318
"195",-73.9575424553,40.7342462064
"196",-73.9576441567,40.7342366363
"197",-73.9577916937,40.7342227515
"198",-73.9579685061,40.7342323868
"199",-73.9580415595,40.7342255119
"200",-73.9577194708,40.73197107
"201",-73.9575805489,40.731984241
"202",-73.9574709853,40.7319946285
"203",-73.9572797877,40.7320127552
"204",-73.9572003011,40.7320202909
"205",-73.9571279745,40.7320271484
"206",-73.9570556503,40.7320340049
"207",-73.9568551425,40.7320530144
"208",-73.9565808767,40.7320790153
"209",-73.9564390893,40.7320924558
"210",-73.9563753562,40.7320984984
"211",-73.9562357175,40.7321117351
"212",-73.9561376109,40.7321210352
"213",-73.9559192015,40.73214174
"214",-73.9556929133,40.7321631897
"215",-73.9555489769,40.7321768337
"216",-73.9554379826,40.7321873547
"217",-73.9553635081,40.7321944146
"218",-73.9551887792,40.7322109773
"219",-73.9576142943,40.7313582362
"220",-73.9575333796,40.7313659283
"221",-73.9572970804,40.7313883896
"222",-73.9570113708,40.7314155462
"223",-73.9568746033,40.7314285461
"224",-73.9567757863,40.7314379383
"225",-73.9566562046,40.7314493046
"226",-73.9565881783,40.731455769
"227",-73.9563107029,40.7314821426
"228",-73.9562247756,40.7314903091
"229",-73.9561016125,40.7315020138
"230",-73.9559634122,40.731515149
"231",-73.9557607652,40.7315344079
"232",-73.9555595519,40.7315535311
"233",-73.9553998691,40.7315687069
"234",-73.9551936419,40.7315883065
"235",-73.9551062818,40.7315966085
"236",-73.9550217854,40.7316046378
"237",-73.9549179566,40.7316145055
"238",-73.9547496811,40.7316304964
"239",-73.9547503967,40.7315302845
"240",-73.9548599811,40.7315200365
"241",-73.9549444963,40.7315121325
"242",-73.9550290138,40.7315042285
"243",-73.9551185437,40.7314958554
"244",-73.9554609061,40.7314638366
"245",-73.955557597,40.7314547923
"246",-73.9556485592,40.7314462851
"247",-73.9557402377,40.7314377097
"248",-73.9558319161,40.7314291361
"249",-73.9559393515,40.731419087
"250",-73.9560145566,40.7314120531
"251",-73.9563117946,40.7313842523
"252",-73.9564285409,40.7313733319
"253",-73.9566290868,40.7313545744
"254",-73.9568353635,40.7313352793
"255",-73.9571705608,40.7313039254
"256",-73.9572622389,40.7312953497
"257",-73.9573338614,40.7312886494
"258",-73.9548270721,40.7323460609
"259",-73.954935203,40.7323358023
"260",-73.9550440489,40.7323254737
"261",-73.955429305,40.7322889214
"262",-73.9556706276,40.7322660228
"263",-73.9557415209,40.7322592972
"264",-73.9667973506,40.5783061827
"265",-73.9558768615,40.7322464547
"266",-73.955955631,40.73223898
"267",-73.9563416047,40.7322023557
"268",-73.95647408,40.7321897852
"269",-73.9565843579,40.7321793197
"270",-73.9567640965,40.7321622642
"271",-73.9568736581,40.7321518674
"272",-73.9569774897,40.7321420142
"273",-73.9571257197,40.7321279468
"274",-73.9572352823,40.7321175498
"275",-73.9573434113,40.732107289
"276",-73.9575381868,40.7320888042
"277",-73.9576498956,40.7320782031
"278",-73.9577680494,40.7320669901
"279",-73.9573613266,40.7306625091
"280",-73.9572718335,40.7306711064
"281",-73.9571873539,40.730679221
"282",-73.9570885546,40.7306887125
"283",-73.9569618345,40.7307008851
"284",-73.9568465679,40.7307119569
"285",-73.9567678156,40.7307195223
"286",-73.9566747436,40.7307284627
"287",-73.9565816715,40.7307374021
"288",-73.9565022017,40.7307450363
"289",-73.9564220157,40.7307527387
"290",-73.9561428005,40.730779557
"291",-73.955992453,40.7307939987
"292",-73.9558249231,40.7308100897
"293",-73.9556731442,40.7308246682
"294",-73.9554712498,40.7308440593
"295",-73.9553881998,40.7308520354
"296",-73.9552951274,40.7308609746
"297",-73.9552263971,40.7308675766
"298",-73.9551526556,40.7308746583
"299",-73.9550567194,40.7308838718
"300",-73.9549314299,40.730895905
"301",-73.9548462323,40.7309040869
"302",-73.9545942205,40.7309282899
"303",-73.9549016792,40.7307983764
"304",-73.9550985884,40.7307796201
"305",-73.9551795003,40.7307719126
"306",-73.9552582635,40.7307644105
"307",-73.9554200871,40.7307489953
"308",-73.9555138874,40.7307400589
"309",-73.9556649699,40.7307256676
"310",-73.955833952,40.7307095703
"311",-73.955923456,40.7307010443
"312",-73.9560766871,40.7306864462
"313",-73.9561934003,40.730675328
"314",-73.9563043849,40.7306647549
"315",-73.9563938887,40.7306562286
"316",-73.9565521307,40.7306411536
"317",-73.9567497541,40.7306223254
"318",-73.9568278007,40.7306148904
"319",-73.9569137257,40.7306067045
"320",-73.9570862871,40.7305902635
"321",-73.9572087286,40.730578598
"322",-73.9573082557,40.7305691166
"323",-73.9574256847,40.730557928
"324",-73.9574858305,40.7305521978
"325",-73.9790892477,40.6620449126
"326",-73.9520809481,40.7338807947
"327",-73.9520117764,40.7334863001
"328",-73.9530642715,40.735291117
"329",-73.9531824576,40.7352800745
"330",-73.9534109555,40.7352587242
"331",-73.9536523438,40.7352361694
"332",-73.954073163,40.7351968471
"333",-73.9541644893,40.7351883133
"334",-73.9543550207,40.7351705094
"335",-73.9545734889,40.7351500949
"336",-73.9546898844,40.7351392175
"337",-73.9547865831,40.7351301802
"338",-73.9548779092,40.7351216468
"339",-73.9518901764,40.7327256657
"340",-73.9552985087,40.7350953638
"341",-73.9554560724,40.7350805278
"342",-73.9555778273,40.7350690627
"343",-73.9557926887,40.7350488308
"344",-73.9558965368,40.7350390515
"345",-73.9560720069,40.7350225285
"346",-73.9562245587,40.7350081623
"347",-73.9563284078,40.7349983835
"348",-73.9564752294,40.7349845577
"349",-73.9565683345,40.7349757895
"350",-73.9567216024,40.7349613553
"351",-73.956807546,40.7349532623
"352",-73.9572157804,40.7349148163
"353",-73.9573053063,40.7349063856
"354",-73.9574915173,40.7348888487
"355",-73.9577851582,40.7348611922
"356",-73.9578925883,40.7348510747
"357",-73.9549459432,40.7349800596
"358",-73.9549309289,40.7348868853
"359",-73.9549117,40.7347675587
"360",-73.954891988,40.734645235
"361",-73.9548806613,40.7345749468
"362",-73.954707074,40.7344144765
"363",-73.9543033227,40.7344536242
"364",-73.9540556314,40.7344776404
"365",-73.9539335763,40.7344894747
"366",-73.953788969,40.7345034953
"367",-73.9531987317,40.7345607202
"368",-73.9531421786,40.7345662038
"369",-73.9530655807,40.7345736297
"370",-73.9528926964,40.7345903905
"371",-73.9528092969,40.7345984753
"372",-73.9525044309,40.7375278201
"373",-73.9523485345,40.7374504669
"374",-73.9520727168,40.7373917717
"375",-73.9519750404,40.7373609895
"376",-73.9518660298,40.7373266373
"377",-73.9516531261,40.7372313177
"378",-73.9515386626,40.7372234702
"379",-73.9514553202,40.7371972052
"380",-73.9507717068,40.7369535419
"381",-73.9506716976,40.7369220228
"382",-73.9503096644,40.7368079268
"383",-73.9499609668,40.7366980318
"384",-73.9498756266,40.7366711362
"385",-73.9495435976,40.7365664917
"386",-73.9490542247,40.736412257
"387",-73.9550318614,40.73429597
"388",-73.955020425,40.7342267984
"389",-73.955009077,40.7341581717
"390",-73.9549914261,40.7340514176
"391",-73.9549659396,40.7338972794
"392",-73.9504258773,40.7367052371
"393",-73.950545487,40.7367437861
"394",-73.9507335401,40.7368043952
"395",-73.9508405247,40.7368388746
"396",-73.9509176072,40.7368637182
"397",-73.9510345602,40.736901411
"398",-73.9576559587,40.732697067
"399",-73.9575521251,40.73270692
"400",-73.9572406241,40.7327364783
"401",-73.9571589892,40.7327442239
"402",-73.9568252879,40.7327758881
"403",-73.9563061183,40.7328251482
"404",-73.9561700604,40.7328380566
"405",-73.9560497551,40.7328494706
"406",-73.9559516498,40.7328587786
"407",-73.9557554391,40.7328773952
"408",-73.9556888426,40.7328837128
"409",-73.9555785634,40.7328941756
"410",-73.955493348,40.7329022599
"411",-73.9551474712,40.7329350735
"412",-73.9550951971,40.7329400329
"413",-73.9550386244,40.7329453995
"414",-73.9549634351,40.7329525328
"415",-73.9583087653,40.7355158406
"416",-73.9582264049,40.7355236218
"417",-73.9581189797,40.7355337693
"418",-73.9578110259,40.7355628613
"419",-73.9577501511,40.7355686112
"420",-73.9575245552,40.7355899225
"421",-73.9574493573,40.7355970259
"422",-73.957356255,40.73560582
"423",-73.9572667328,40.7356142768
"424",-73.9571772106,40.7356227335
"425",-73.9569050648,40.7356484397
"426",-73.9568155426,40.7356568952
"427",-73.9567260214,40.7356653516
"428",-73.9566364991,40.735673807
"429",-73.9565362338,40.7356832777
"430",-73.9564502928,40.7356913957
"431",-73.9557376966,40.735758699
"432",-73.9554154163,40.7357891371
"433",-73.9528460571,40.7339578896
"434",-73.9529856803,40.7339445292
"435",-73.9530902187,40.7339345266
"436",-73.9531739925,40.7339265102
"437",-73.953337959,40.7339108205
"438",-73.9534446448,40.7339006114
"439",-73.9535126656,40.7338941012
"440",-73.9536530049,40.7338806727
"441",-73.9539358295,40.7338536079
"442",-73.9541341653,40.7338346269
"443",-73.9542064824,40.7338277065
"444",-73.9545755876,40.7337923826
"445",-73.9526554885,40.7373179298
"446",-73.952642046,40.7372373306
"447",-73.9526026701,40.7370012526
"448",-73.9546885249,40.7345149407
"449",-73.9546133385,40.7345221134
"450",-73.9545009183,40.7345328382
"451",-73.954258892,40.7345559277
"452",-73.9540555321,40.7345753274
"453",-73.9539624449,40.7345842071
"454",-73.9538550359,40.7345944533
"455",-73.9535299472,40.7346254648
"456",-73.9534164516,40.7346362917
"457",-73.9530637928,40.7346699302
"458",-73.9519853336,40.7340531661
"459",-73.9518958399,40.7340617845
"460",-73.9518242457,40.7340686776
"461",-73.9552579918,40.7356560125
"462",-73.9552447656,40.7355770526
"463",-73.9552338198,40.7355117075
"464",-73.9552201373,40.7354300243
"465",-73.9552018941,40.7353211152
"466",-73.9553847253,40.735891213
"467",-73.9554649306,40.7358835907
"468",-73.9556661571,40.7358644659
"469",-73.9558330117,40.7358486081
"470",-73.9560141858,40.7358313886
"471",-73.9560893782,40.7358242421
"472",-73.9561967935,40.7358140325
"473",-73.9563006298,40.7358041637
"474",-73.9564674841,40.7357883041
"475",-73.956988095,40.7357388205
"476",-73.9574242039,40.7356973665
"477",-73.9579462459,40.7356477413
"478",-73.9581997458,40.7356236432
